,Cn,code,N-N distance
0,4,ASEQUM,5.446
0,4,ASEQUM,6.258
1,4,GEPKOD,6.249
2,4,QOPKUC,4.935
3,4,CUPBEW,6.238
4,4,ZAHHUP,5.461
5,4,LIWFIG,5.377
6,4,QAHPEX,5.421
8,4,JEPLAR,5.466
9,4,IVEFOE,6.266
10,4,VOMJAJ,6.259
13,4,GEPLUK,6.212
14,4,ETERAX,5.376
15,4,GEPLAQ,6.265
17,4,GEPKIX,5.386
18,4,HUQMEL,5.472
19,4,DEVZAG,5.396
20,4,EDUKIZ,5.886
21,4,FAHYIX,6.247
22,4,PONPOX,5.691
23,4,YAYFAI,6.266
23,4,YAYFAI,6.299
24,4,FOJNAV,5.494
26,4,DINQUO,6.205
27,4,METTUB,6.248
28,4,IREVOR,5.364
28,4,IREVOR,6.242
29,4,TEJDER,6.226
29,4,TEJDER,6.267
30,4,REBSUM,5.856
30,4,REBSUM,6.175
31,4,VOMHUB,6.251
32,4,RADHAG,4.477
32,4,RADHAG,5.503
32,4,RADHAG,5.574
32,4,RADHAG,6.254
33,4,IGONUP,4.908
33,4,IGONUP,4.934
34,4,NETMOO,5.452
36,4,FAHYOD,6.312
37,4,SIKXIT,6.29
38,4,PUPKER,6.288
41,4,AJIMAK,5.513
42,4,MATDOD,6.226
43,4,LUHCOI,5.422
43,4,LUHCOI,6.275
45,4,LUGQAG,6.334
46,4,MENSAA,5.17
46,4,MENSAA,6.236
49,4,JUJDID,6.285
51,4,BOXWIV,6.256
52,4,GUXQOF,6.297
53,4,FOVYAQ,6.279
54,4,RUKHIP,5.843
56,4,ASOMUT,6.259
59,4,XELPOU,5.402
59,4,XELPOU,6.253
61,4,LOYBEG,5.447
62,4,LASDUG,5.782
63,4,MUZFOD,5.35
64,4,AWUYOG,5.402
65,4,GEPKUJ,6.275
66,4,CEJCIG,6.244
67,4,MAPCIP,5.345
68,4,KAPKOE,5.703
69,4,FICTAN,5.272
69,4,FICTAN,5.868
71,4,ROLPIR,5.386
72,4,YASJAF,5.535
72,4,YASJAF,5.665
73,4,PEFYEG,6.252
74,4,NUKHUW,5.342
74,4,NUKHUW,6.233
75,4,IGEPAL,6.28
76,4,GEPLIY,6.272
78,4,QOPKIQ,4.973
80,4,GEPLOE,6.248
81,4,TAJPIF,5.431
82,4,IKELOA,6.236
84,4,AJIMOY,5.097
85,4,TOHLUA,6.259
87,4,MICBIL,5.523
89,4,DELYOJ,5.241
90,4,VERBAW,5.894
90,4,VERBAW,6.27
90,4,VERBAW,6.328
91,4,ROLPEN,6.249
92,4,PUTRDP,5.353
94,4,MALLIV,6.241
96,4,PELMUO,5.446
98,4,PUTRDP,5.358
99,4,OFUZOE,6.253
100,4,ILALAK,5.908
100,4,ILALAK,5.969
101,4,NPCABU,5.251
102,4,EPERAU,5.387
102,4,EPERAU,5.421
104,4,SARSIO,6.27
105,4,KALGIP,6.287
106,4,SIFHEU,6.263
109,4,YUXMOV,6.268
111,4,DUCWII,6.241
112,4,QACMAJ,6.257
113,4,TMEAMC,6.24
114,4,YEYYEJ,6.233
114,4,YEYYEJ,6.255
115,4,DILYOO,6.278
116,4,DILYEE,6.06
117,4,DEVYUZ,6.014
118,4,REHQUQ,6.247
124,4,VIGRUY,6.269
124,4,VIGRUY,6.288
125,4,RAZQER,5.325
125,4,RAZQER,6.328
126,4,AMIYOM,4.896
126,4,AMIYOM,4.926
129,4,TODPAD,5.345
130,4,PUTRDP,5.357
131,4,FIJYED,5.166
132,4,CUWTIZ,6.301
133,4,NOJDOG,5.873
135,4,ABESUX,5.684
136,4,VOXKOL,5.449
136,4,VOXKOL,5.569
137,4,NEMNAU,6.265
138,4,PUTRDP,5.353
139,4,EYOYUO,6.288
140,4,XACQAT,6.18
141,4,PUTRDP,5.165
142,4,KALGUB,6.302
143,4,ERODUL,6.238
144,4,FUXWOM,6.26
145,4,QAHPEX,5.421
146,4,LOBRAW,5.329
146,4,LOBRAW,6.252
147,4,EJOWEI,5.177
147,4,EJOWEI,5.769
147,4,EJOWEI,6.152
148,4,UKUPOF,4.875
149,4,LASDUG,5.723
152,4,KAPYAD,5.314
154,4,FOYRER,6.29
155,4,FEJDEE,5.35
155,4,FEJDEE,5.503
156,4,AXAMUJ,5.423
158,4,PUPKIV,6.257
159,4,ADALOG,6.126
161,4,QIFNOK,5.403
163,4,NEQDES,6.239
166,4,CIRSUR,6.276
167,4,FUSXID,6.193
168,4,LUHBOF,6.293
170,4,IWUSUO,6.278
171,4,AMURUX,5.426
172,4,LUHBOF,6.277
173,4,AMOBEL,4.903
173,4,AMOBEL,4.932
175,4,SOPXAX,4.857
175,4,SOPXAX,5.333
176,4,SIDSUU,6.245
177,4,XEXYAB,5.447
178,4,VOWHOE,6.244
181,4,ELIYUU,5.437
182,4,RUZDAS,6.226
183,4,ZINXEC,5.468
184,4,TAWRAM,5.344
186,4,QEGWAC,6.239
187,4,YAHQII,6.26
190,4,TMEAMC,6.279
191,4,CUWTEV,6.287
194,4,MOCROL,5.903
195,4,KUPDAB,6.272
196,4,VIGRUY,6.272
196,4,VIGRUY,6.284
197,4,NUZQOO,5.385
198,4,KACMEI,5.338
198,4,KACMEI,6.255
199,4,GECFOL,5.279
200,4,CAYCEL,5.932
201,4,PIPTEQ,6.329
202,4,NUZQOO,5.38
203,4,DILYII,6.236
204,4,HAFGUQ,6.232
205,4,TMEAMC,6.264
206,4,PONPOX,6.124
207,4,TOHGOM,6.243
208,4,ZZZMBA,5.997
209,4,SIKXIT,6.242
210,4,MICBOR,6.245
211,4,JEPKUK,6.259
212,4,XIVGIU,5.44
213,4,KALGOV,6.274
214,4,CUNRAG,5.918
215,4,KIBSIY,6.248
215,4,KIBSIY,6.253
216,4,TIBWIK,5.465
217,4,FALKEK,2.855
217,4,FALKEK,6.274
218,4,VAHSON,6.264
218,4,VAHSON,6.265
220,4,AHEKED,5.393
222,4,VOWHUK,6.218
227,4,YEGQOR,4.938
228,4,ELIZAB,5.264
228,4,ELIZAB,5.354
228,4,ELIZAB,5.368
228,4,ELIZAB,5.406
228,4,ELIZAB,5.438
228,4,ELIZAB,5.531
229,4,KABNIL,6.221
230,4,GEPMIZ,6.27
231,4,UKICIB,5.222
232,4,VAHSUT,6.253
233,4,JAYJEZ,5.398
233,4,JAYJEZ,6.236
234,4,LUWWOS,5.419
238,4,KACLUX,6.293
239,4,QOPKOW,4.947
240,4,BIGGEE,6.097
242,4,GEPLEU,6.246
243,4,QAHPEX,5.42
245,4,QAHPEX,5.422
248,4,MIMFOF,6.261
248,4,MIMFOF,6.271
250,4,BUCLMN,6.214
251,4,FOVYAQ,6.27
252,4,EBIYUL,5.368
253,4,POVMOC,2.357
253,4,POVMOC,5.0
255,4,UDAQEW,6.257
256,4,SUSCUH,5.597
257,4,IGENUD,6.242
258,4,UBOTUC,6.222
259,4,IKUDAT,5.324
259,4,IKUDAT,6.246
259,4,IKUDAT,6.268
260,4,PAWGEC,6.272
261,4,CUNQOT,6.196
264,4,LASFAO,5.673
266,4,OCUQOT,6.316
267,4,KUCNIF,5.898
268,4,GEHWAS,6.305
269,4,JEPKUK,5.468
276,4,AJINUF,5.522
277,4,YOVXAI,5.561
278,4,CUNQUZ,6.216
279,4,DUWRAQ,5.31
280,4,BAYBUZ,6.306
281,4,FOVYAQ,6.275
282,4,CANZUN,5.625
284,4,FOVYAQ,5.428
284,4,FOVYAQ,6.276
285,4,FIKFAH,6.134
286,4,AMOBEL,4.914
287,4,MILSOQ,5.374
288,4,NENBUE,6.267
290,4,CISXAD,6.319
291,4,ULEKAY,6.216
292,4,ODOKEY,6.314
293,4,TIJHOK,4.958
294,4,TURQIG,6.259
296,4,IREVIL,4.899
297,4,URAKEE,6.266
300,4,AJILEN,5.387
300,4,AJILEN,5.445
302,4,KEMJOC,6.256
304,4,KACMAE,6.251
304,4,KACMAE,6.259
305,4,QOBVOT,6.199
306,5,SOCGIC,5.418
309,5,ACIKED,6.771
311,5,RAZQIV,7.409
314,5,XELKEE,5.941
315,5,RADGOT,5.93
315,5,RADGOT,6.696
316,5,YEGQEH,6.74
317,5,IFERUH,5.342
317,5,IFERUH,6.698
318,5,RONSUI,5.402
318,5,RONSUI,6.685
318,5,RONSUI,6.748
318,5,RONSUI,6.852
320,5,JEPLIZ,6.737
322,5,LUHCUO,7.53
323,5,SIHQOP,7.395
326,5,DIRZIP,6.727
327,5,IVEQUW,6.215
327,5,IVEQUW,7.455
328,5,ZAPGOO,7.474
328,5,ZAPGOO,7.48
330,5,KAYJIE,5.48
332,5,TURQOM,7.451
333,5,XEQPOA,6.792
334,5,YEGQUX,5.804
337,5,CELLAH,7.483
338,5,UTOFER,6.747
340,5,YAMLON,7.394
340,5,YAMLON,7.49
341,5,GUXRAS,6.078
341,5,GUXRAS,6.932
342,5,TAXJAF,6.455
343,5,GAGLAF,5.84
343,5,GAGLAF,6.765
345,5,ASOYUE,6.757
347,5,NOTSIB,7.454
348,5,GUNWIY,6.616
351,5,RISSAO,6.843
352,5,JARGAN,7.422
354,5,AJINAL,5.892
355,5,QIHPEC,6.874
356,5,PURBOU,6.014
357,5,TUJXOL,6.864
358,5,GUNWEU,7.451
359,5,ETOGAV,6.702
360,5,JARHUI,6.192
360,5,JARHUI,6.247
361,5,TUJXOL,6.741
362,5,FISJOG,7.466
363,5,DIMMUK,6.917
365,5,GAGKUY,7.457
366,5,LUHCUO,7.503
367,5,IKUDEX,6.553
369,5,CILQOF,6.525
369,5,CILQOF,7.03
370,5,LEHZAZ,5.904
371,5,OCUSIP,7.547
373,5,YOTHUM,6.822
374,5,PURBIO,7.332
375,5,RILSAI,7.449
375,5,RILSAI,7.491
376,5,LEHZAZ,5.904
377,5,AJIKOW,5.624
378,5,EHIPOC,6.692
381,5,BEXNAT,7.617
384,5,BOBDOM,5.981
386,5,BIGGII,6.62
388,5,WOCLIJ,5.973
390,5,LEZMIN,7.365
391,5,AWEZOT,6.732
393,5,DONDUF,6.102
399,5,VUHFEM,7.493
400,5,JOJWIQ,6.83
